1754596579822,245,02_02_Select_Category,200,,Octoperf - 02_VIEW DETAILS 2-27,text,true,,3666,675,6,19,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=6264F7F7FE924C89737477BCA65AA6ED?viewCategory=&categoryId=BIRDS,244,0,0
1754596577641,329,02_Search_URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 01_ SEARCH - Ultimate Thread Group 1-61,,true,,4081,923,12,19,null,0,2101,0
1754596579742,329,02-Search,200,,Octoperf - 01_ SEARCH - Ultimate Thread Group 1-61,text,true,,4081,923,12,19,https://petstore.octoperf.com/actions/Catalog.action,329,0,0
1754596578937,1079,02_01_Enter Store,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 02_VIEW DETAILS 2-26,,true,,5664,525,6,19,null,0,56,868
1754596578991,1079,02_01_Enter Store,200,,Octoperf - 02_VIEW DETAILS 2-26,text,true,,5664,525,6,19,https://petstore.octoperf.com/actions/Catalog.action,1078,0,868
1754596577780,252,02_Search_URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 01_ SEARCH - Ultimate Thread Group 1-60,,true,,3754,922,12,19,null,0,2041,0
1754596579820,252,02-Search,200,,Octoperf - 01_ SEARCH - Ultimate Thread Group 1-60,text,true,,3754,922,12,19,https://petstore.octoperf.com/actions/Catalog.action,252,0,0
1754596577194,1060,01_Open_URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 01_ SEARCH - Ultimate Thread Group 1-55,,true,,5664,525,13,20,null,0,2017,856
1754596579210,1060,01-Open,200,,Octoperf - 01_ SEARCH - Ultimate Thread Group 1-55,text,true,,5664,525,13,20,https://petstore.octoperf.com/actions/Catalog.action,1059,0,856
1754596579062,225,02_03_Select Product ID,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 02_VIEW DETAILS 2-29,,true,,4120,707,6,20,null,0,1071,0
1754596580131,225,02_03_Select Product ID (Fish),200,,Octoperf - 02_VIEW DETAILS 2-29,text,true,,4120,707,6,20,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DLH-02,225,0,0
1754596579061,311,02_03_Select Product ID,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 02_VIEW DETAILS 2-30,,true,,4120,707,6,20,null,0,1087,0
1754596580145,311,02_03_Select Product ID (Fish),200,,Octoperf - 02_VIEW DETAILS 2-30,text,true,,4120,707,6,20,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DLH-02,311,0,0
1754596578267,266,02_Search_URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 01_ SEARCH - Ultimate Thread Group 1-59,,true,,3440,922,13,20,null,0,2024,0
1754596580290,266,02-Search,200,,Octoperf - 01_ SEARCH - Ultimate Thread Group 1-59,text,true,,3440,922,13,20,https://petstore.octoperf.com/actions/Catalog.action,266,0,0
1754596579257,208,02_03_Select Product ID,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 02_VIEW DETAILS 2-28,,true,,4106,707,6,20,null,0,1093,0
1754596580349,208,02_03_Select Product ID (Fish),200,,Octoperf - 02_VIEW DETAILS 2-28,text,true,,4106,707,6,20,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DSH-01,207,0,0
1754596577678,942,01_Open_URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 01_ SEARCH - Ultimate Thread Group 1-54,,true,,5664,525,14,21,null,0,2038,741
1754596579715,942,01-Open,200,,Octoperf - 01_ SEARCH - Ultimate Thread Group 1-54,text,true,,5664,525,14,21,https://petstore.octoperf.com/actions/Catalog.action,941,0,741
1754596579938,924,02_01_Enter Store,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 02_VIEW DETAILS 2-25,,true,,5664,525,6,21,null,0,15,705
1754596579951,924,02_01_Enter Store,200,,Octoperf - 02_VIEW DETAILS 2-25,text,true,,5664,525,6,21,https://petstore.octoperf.com/actions/Catalog.action,923,0,705
1754596578769,197,02_Search_URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 01_ SEARCH - Ultimate Thread Group 1-58,,true,,3444,926,14,22,null,0,2091,0
1754596578194,813,01_Open_URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 01_ SEARCH - Ultimate Thread Group 1-53,,true,,5664,525,14,22,null,0,2050,624
1754596580859,197,02-Search,200,,Octoperf - 01_ SEARCH - Ultimate Thread Group 1-58,text,true,,3444,926,14,22,https://petstore.octoperf.com/actions/Catalog.action,197,0,0
1754596580243,813,01-Open,200,,Octoperf - 01_ SEARCH - Ultimate Thread Group 1-53,text,true,,5664,525,14,22,https://petstore.octoperf.com/actions/Catalog.action,813,0,624
1754596580069,234,02_03_Select Product ID,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 02_VIEW DETAILS 2-27,,true,,3837,706,7,23,null,0,1057,0
1754596581125,234,02_03_Select Product ID (Fish),200,,Octoperf - 02_VIEW DETAILS 2-27,text,true,,3837,706,7,23,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=AV-CB-01,234,0,0
1754596580074,255,02_02_Select_Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Octoperf - 02_VIEW DETAILS 2-26,,true,,4212,674,7,23,null,0,1031,0
